"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"3";"";"LED1206";"CHIPLED_1206";"LED1, LED2, LED4";"LED";"";"";"";"";"";"";
"1";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"Q1";"NPN Transistor";"";"";"";"";"";"";
"2";"057-006-1";"057-006-1";"057-006-1";"X2, X4";"CONNECTOR";"";"";"unknown";"unknown";"";"";
"1";"100nF";"CAP_CERAMIC_0603";"_0603";"C3";"Ceramic Capacitors";"";"";"";"";"";"";
"1";"100uF";"CPOL-EUE15-5AXIAL";"E15-5";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"1K";"RESISTOR_0603";"_0603";"R11";"Resistors";"";"";"";"";"";"";
"1";"1K69";"RESISTOR_0603";"_0603";"R10";"Resistors";"";"";"";"";"";"";
"1";"1N5638";"1N5638";"DO13M";"D1";"DIODE";"";"";"";"";"";"";
"1";"1µF";"CAP_CERAMIC_0805";"_0805";"C1";"Ceramic Capacitors";"";"";"";"";"";"";
"1";"20K";"RESISTOR_0603";"_0603";"R12";"Resistors";"";"";"";"";"";"";
"1";"220uF";"CPOL-EUE15-5AXIAL";"E15-5";"C6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"220µH";"INDUCTORPWR";"CDRH125";"L1";"Inductors";"";"";"";"";"";"";
"5";"47k";"RESISTOR_0603";"_0603";"R3, R4, R5, R6, R7";"Resistors";"";"";"";"";"";"";
"1";"4n7";"CAP_CERAMIC0603";"0603";"C2";"Ceramic Capacitors";"";"";"";"";"";"";
"3";"500";"RESISTOR_0603";"_0603";"R2, R8, R9";"Resistors";"";"";"";"";"";"";
"2";"60";"RESISTOR_0603";"_0603";"R15, R16";"Resistors";"";"";"";"";"";"";
"1";"850";"RESISTOR_0603";"_0603";"R1";"Resistors";"";"";"";"";"";"";
"1";"CPU-BOARD";"CPU-BOARD";"CPU-BOARD-JP1";"U$1";"";"";"";"";"";"";"";
"1";"LM2596S";"LM2596S";"TO263-5";"LM2575-ADJ";"SIMPLE SWITCHER® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"NATIONAL SEMICONDUCTOR";"LM2596S-ADJ/NOPB";"9494367";"41K3842";"";"";
"1";"MAX13052ESA+";"MAX13052ESA+";"SOIC127P600X175-8N";"U1";"Industry-Standard High-Speed CAN Transceivers with ±80V Fault Protection";"";"MAX13052ESA+";"1600112";"99K2875";"SOIC-8";"Maxim";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";
"1";"SDBMF";"SDBMF";"SDBMF-009XXBXX2";"X1";"SD MEMORY CARD PUSH-PUSH WITH CONNECTOR TYPE B (BIG SWUÌTCH #3)";"";"";"";"";"";"";
"1";"SUPERCAP";"SUPERCAP";"SUPERCAP";"C8";"";"";"";"";"";"";"";
"1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XB1";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";"XBP24-AWI-001";"1337916";"42M2667";"";"";
"1";"XXXXX";"RESISTOR_0603";"_0603";"R14";"Resistors";"";"";"";"";"";"";
