"Part";"Value";"Device";"Package";"Description";"";
"BAT1";"";"BATTERY18650";"BATTERY_18650-HOLDER";"Battery Holders";"";
"C1";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C2";"10u";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C3";"1u";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";
"C4";"22u";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";
"C5";"1u";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";
"C6";"22pf";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C7";"22pf";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C9";"22u";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C10";"10u";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";
"C11";"10u";"CAP_CERAMIC_0805MP";"_0805MP";"Ceramic Capacitors";"";
"C12";"1n8";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C13";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C14";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C16";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C17";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C19";"100n";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C21";"47p";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C22";"1n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C23";"100u";"CAP_CERAMIC1206";"1206";"Ceramic Capacitors";"";
"C24";"10u";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C25";"100u";"CAP_CERAMIC1206";"1206";"Ceramic Capacitors";"";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";
"D3";"B320";"DIODESMA";"SMADIODE";"Diode";"";
"FB1";"MH2029";"FERRITE_0805MP";"_0805MP";"Ferrite Bead";"";
"H1";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";
"H2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";
"IC1";"MCP73831/OT";"MCP73831/OT";"SOT23-5L";"MCP73831/2";"";
"IC2";"REG1117";"REG1117";"SOT223";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
"IC4";"74HC04D";"74HC04D";"SO14";"Hex INVERTER";"";
"IC5";"NE555D";"NE555D";"SO08";"TIMER";"";
"IC6";"74HC08D";"74HC08D";"SO14";"Quad 2-input AND gate";"";
"JP1";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
